"Time","PosX","PosY","PosZ","AbsolutePoz"
3.292529302E0,1.420154572E-1,-8.014841676E-1,-2.531514168E-1,8.524264782E-1
3.309115900E0,1.576690674E-1,-7.768000364E-1,-2.899312973E-1,8.440011781E-1
3.325713557E0,1.498117447E-1,-7.426311970E-1,-2.637734413E-1,8.021976576E-1
3.342302120E0,1.513929367E-1,-7.467280626E-1,-2.802743912E-1,8.118351773E-1
3.358902411E0,1.527681351E-1,-7.172687054E-1,-2.784852982E-1,7.844530324E-1
3.375487249E0,1.542539597E-1,-6.638584733E-1,-2.715001106E-1,7.336311517E-1
3.392091417E0,1.652603149E-1,-7.299909592E-1,-3.174872398E-1,8.130165556E-1
3.408676613E0,1.592254639E-1,-6.718352437E-1,-2.991652489E-1,7.524727166E-1
3.425277036E0,1.672906876E-1,-6.947830915E-1,-3.047676086E-1,7.769124878E-1
3.441866220E0,1.512870789E-1,-7.081546783E-1,-2.718439102E-1,7.734791143E-1
3.458461455E0,1.585960388E-1,-6.545495391E-1,-2.857384682E-1,7.315970714E-1
3.475054137E0,1.464796066E-1,-6.249275804E-1,-2.694387436E-1,6.961235468E-1
3.491638295E0,1.478843689E-1,-6.096395254E-1,-2.623214722E-1,6.799578607E-1
3.508241098E0,1.647291183E-1,-6.135288477E-1,-2.761340141E-1,6.926783692E-1
3.524835632E0,1.435670853E-1,-6.078407764E-1,-2.712659836E-1,6.809310915E-1
3.541430684E0,1.315650940E-1,-6.309752464E-1,-2.513408661E-1,6.918174373E-1
3.558033489E0,1.289997101E-1,-6.875230074E-1,-2.200355530E-1,7.333106132E-1
3.574615561E0,1.302137375E-1,-7.058812380E-1,-2.221422195E-1,7.513794682E-1
3.591199953E0,1.125755310E-1,-6.430042386E-1,-2.055673599E-1,6.843870546E-1
3.607805849E0,1.467361450E-1,-7.522692680E-1,-2.603888512E-1,8.094707541E-1
3.624397077E0,1.486082077E-1,-6.989392042E-1,-2.683501244E-1,7.632903771E-1
3.640989902E0,1.513710022E-1,-5.883277655E-1,-2.735743523E-1,6.662474511E-1
3.657573063E0,1.591119766E-1,-6.019700766E-1,-2.737483978E-1,6.801637887E-1
3.674177412E0,1.391782761E-1,-4.960685968E-1,-2.602715492E-1,5.772312575E-1
3.690762262E0,1.702718735E-1,-5.529268980E-1,-2.891616821E-1,6.467883300E-1
3.707364405E0,1.721763611E-1,-6.814351082E-1,-2.965641022E-1,7.628556696E-1
3.723953008E0,1.589727402E-1,-6.997919083E-1,-2.841930389E-1,7.718463127E-1
3.740551774E0,1.455993652E-1,-7.372263074E-1,-2.667622566E-1,7.974107505E-1
3.757137141E0,1.380233765E-1,-7.315940261E-1,-2.452244759E-1,7.838464869E-1
3.773738959E0,1.306009293E-1,-6.829422712E-1,-2.344818115E-1,7.337904800E-1
3.790335843E0,1.561336517E-1,-7.059953809E-1,-2.707090378E-1,7.720690242E-1
3.806926489E0,1.430568695E-1,-5.807864070E-1,-2.543516159E-1,6.499791250E-1
3.823512387E0,1.437005997E-1,-6.181735992E-1,-2.650799751E-1,6.877905600E-1
3.840113473E0,1.542062759E-1,-6.221790910E-1,-2.619128227E-1,6.924483544E-1
3.856708474E0,1.502799988E-1,-5.735692978E-1,-2.634019852E-1,6.488038403E-1
3.873300972E0,1.231384277E-1,-5.250158906E-1,-2.315759659E-1,5.868834516E-1
3.889892730E0,1.517009735E-1,-6.247704625E-1,-2.652926445E-1,6.955080901E-1
3.906488026E0,1.471242905E-1,-5.714935064E-1,-2.567334175E-1,6.435545295E-1
3.923072906E0,1.369247437E-1,-5.564991236E-1,-2.462124825E-1,6.237469411E-1
3.939675568E0,1.405773163E-1,-5.367677808E-1,-2.444272041E-1,6.063219363E-1
3.956271505E0,1.356468201E-1,-5.504860282E-1,-2.385020256E-1,6.150757216E-1
3.972862449E0,1.492214203E-1,-5.881524086E-1,-2.574133873E-1,6.591296837E-1
3.989457562E0,1.582937241E-1,-6.401469111E-1,-2.847909927E-1,7.182972090E-1
4.006050325E0,1.482648849E-1,-6.347236633E-1,-2.512125969E-1,6.985444680E-1
4.022634402E0,1.247043610E-1,-6.484096646E-1,-2.263865471E-1,6.980237385E-1
4.039237012E0,1.292266846E-1,-7.097911835E-1,-2.366032600E-1,7.592655417E-1
4.055832105E0,1.444959641E-1,-7.280709147E-1,-2.477612495E-1,7.825292182E-1
4.072424656E0,1.410312653E-1,-7.033486962E-1,-2.547950745E-1,7.612553686E-1
4.089020257E0,1.523780823E-1,-7.120154500E-1,-2.721552849E-1,7.773374943E-1
4.105608627E0,1.433658600E-1,-6.730242968E-1,-2.444329262E-1,7.302485394E-1
4.122209325E0,1.157760620E-1,-5.766600966E-1,-2.070822716E-1,6.235575601E-1
