"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.668587130E-1,-1.355534077E0,-1.435693540E-2,9.113663673E0,9.213932076E0
2.689335820E-1,-1.359721422E0,-2.392822690E-2,9.151947975E0,9.252435714E0
2.710056650E-1,-1.369292736E0,-2.392822690E-2,9.166305542E0,9.268046852E0
2.730709620E-1,-1.359721422E0,-9.571290575E-3,9.180662155E0,9.280813087E0
2.751580900E-1,-1.368694544E0,-5.383851007E-3,9.227920532E0,9.328872981E0
2.772390340E-1,-1.358525038E0,-5.982056609E-4,9.266205788E0,9.365263495E0
2.793068740E-1,-1.333998680E0,1.854437590E-2,9.304491043E0,9.399651586E0
2.813791600E-1,-1.333998680E0,-5.383851007E-3,9.328418732E0,9.423320938E0
2.834532970E-1,-1.323829174E0,1.375873014E-2,9.356534958E0,9.449733298E0
2.855275160E-1,-1.319043517E0,3.290131316E-2,9.370891571E0,9.463327487E0
2.876032000E-1,-1.328016520E0,5.682953820E-2,9.404391289E0,9.497864654E0
2.896722610E-1,-1.322632670E0,8.554340899E-2,9.456435204E0,9.548865986E0
2.917383620E-1,-1.327418327E0,9.511470050E-2,9.485149384E0,9.578055390E0
2.938151230E-1,-1.317248821E0,1.046859920E-1,9.523433685E0,9.614670705E0
2.958875120E-1,-1.293320656E0,8.494520187E-2,9.542576790E0,9.630195522E0
2.979747830E-1,-1.302293777E0,9.451649338E-2,9.556933403E0,9.645718144E0
3.000479430E-1,-1.278365493E0,9.930214286E-2,9.561120987E0,9.646715181E0
3.021236970E-1,-1.273579836E0,8.973085135E-2,9.589835167E0,9.674450669E0
3.041966550E-1,-1.278365493E0,1.232303679E-1,9.585049629E0,9.670707340E0
3.062717490E-1,-1.273579836E0,1.280160099E-1,9.594620705E0,9.679625001E0
3.083438310E-1,-1.283151150E0,1.519442350E-1,9.585049629E0,9.671749600E0
3.104184660E-1,-1.292124271E0,1.710868180E-1,9.618548393E0,9.706458109E0
3.124912710E-1,-1.316052437E0,1.950150430E-1,9.637691498E0,9.729086406E0
